description,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity,source,iso3,GDACS ID,Exposed Population 30km,Exposed Population 100km,Max Volc. Explosivity Index VEI,Population Exposure Index PEI,longitude,latitude
Green Eruption Merapi in Indonesia at: 28 Jan 2021 00:00.,Green,1.0,Green,0.5,Indonesia,2020-11-06 00:00:00,2021-01-28 00:00:00,0.0,DARWIN,IDN,VO 1000004,4440000.0,24400000.0,4.0,7.0,110.446,-7.54
Green Eruption Lewotolo in Indonesia at: 06 Dec 2020 00:00.,Green,1.0,Green,0.5,Indonesia,2020-11-30 00:00:00,2020-12-06 00:00:00,0.0,DARWIN,IDN,VO 1000006,140000.0,460000.0,3.0,4.0,123.505,-8.272
Green Eruption Yasur in Vanuatu at: 27 Nov 2020 00:00.,Green,1.0,Green,0.5,Vanuatu,2020-11-27 00:00:00,2020-11-27 00:00:00,0.0,JRC,VUT,VO 1000005,33000.0,37000.0,3.0,3.0,169.447,-19.532
Orange Eruption Taal in Philippines at: 08 Jul 2021 00:00.,Orange,2.0,ORANGE,1.5,Philippines,2021-02-19 00:00:00,2021-07-08 00:00:00,0.0,TOKYO,PHL,VO 1000012,3080000.0,29950000.0,6.0,7.0,120.993,14.002
Green Eruption Pacaya in Guatemala at: 23 Apr 2021 00:00.,Green,1.0,Green,0.5,Guatemala,2021-03-04 00:00:00,2021-04-23 00:00:00,0.0,JRC,GTM,VO 1000014,2760000.0,7860000.0,3.0,6.0,-90.601,14.382
Red Eruption Nyiragongo in Democratic Republic of Congo at: 04 Jun 2021 00:00.,Red,3.0,RED,2.5,Democratic Republic of Congo,2021-05-23 00:00:00,2021-06-04 00:00:00,0.0,TOULOUSE,COD,VO 1000023,1330000.0,11140000.0,2.0,5.0,29.25,-1.52
Orange Eruption La Palma in Spain at: 15 Dec 2021 00:00.,Orange,2.0,ORANGE,1.5,Spain,2021-09-19 00:00:00,2021-12-15 00:00:00,0.0,TOULOUSE,ESP,VO 1000031,91000.0,130000.0,2.0,4.0,-17.83,28.57
Green Eruption Kilauea in United States at: 30 Sep 2021 00:00.,Green,1.0,Green,0.5,United States,2021-09-30 00:00:00,2021-09-30 00:00:00,0.0,WASHINGTON,USA,VO 1000032,3000.0,190000.0,4.0,3.0,-155.287,19.421
Green Eruption Manam in Papua New Guinea at: 23 Dec 2021 00:00.,Green,1.0,Green,0.5,Papua New Guinea,2021-10-20 00:00:00,2021-12-23 00:00:00,0.0,DARWIN,PNG,VO 1000033,31000.0,200000.0,4.0,3.0,145.037,-4.08
Red Eruption Hunga Tonga-Hunga Ha apai in Tonga at: 18 Jan 2022 00:00.,Red,3.0,RED,2.5,Tonga,2021-12-20 00:00:00,2022-01-18 00:00:00,0.0,DARWIN,TON,VO 1000036,0.0,80000.0,2.0,2.0,-175.382,-20.536
Green Eruption Semeru in Indonesia at: 03 Jan 2022 00:00.,Green,1.0,Green,0.5,Indonesia,2021-12-04 00:00:00,2022-01-03 00:00:00,0.0,DARWIN,IDN,VO 1000035,870000.0,19740000.0,3.0,5.0,112.922,-8.108
Green Eruption Stromboli in Italy at: 04 Dec 2022 16:10.,Green,1.0,Green,0.5,Italy,2022-10-09 07:22:00,2022-12-04 16:10:00,0.0,TOULOUSE,ITA,VO 1000053,3000.0,1000000.0,3.0,3.0,15.213,38.789
Orange Eruption Mayon in Philippines at: 01 Aug 2023 08:44.,Orange,2.0,ORANGE,1.5,Philippines,2023-06-09 07:26:00,2023-08-01 08:44:00,0.0,JRC,PHL,VO 1000072,1260000.0,4460000.0,4.0,6.0,123.685,13.257
Green Eruption Reykjanes in Iceland at: 18 Mar 2024 08:51.,Green,1.0,Green,0.5,Iceland,2023-11-12 14:10:00,2024-03-18 08:51:00,0.0,JRC,ISL,VO 1000080,30000.0,290000.0,4.0,4.0,-22.717,63.817
Green Eruption Marapi in Indonesia at: 29 Feb 2024 22:30.,Green,1.0,Green,0.5,Indonesia,2023-12-03 08:42:00,2024-02-29 22:30:00,0.0,DARWIN,IDN,VO 1000084,1190000.0,4450000.0,2.0,5.0,100.474,-0.38
Green Eruption Ruang in Indonesia at: 29 Apr 2024 23:40.,Green,1.0,Green,0.5,Indonesia,2024-04-16 23:13:00,2024-04-29 23:40:00,0.0,DARWIN,IDN,VO 1000088,25000.0,360000.0,4.0,4.0,125.37,2.3
Green Eruption Reykjanes in Iceland at: 09 Jun 2024 13:14.,Green,1.0,Green,0.5,Iceland,2024-05-29 17:26:00,2024-06-09 13:14:00,0.0,LONDON,ISL,VO 1000090,30000.0,290000.0,4.0,2.0,-22.717,63.817
Green Eruption Ibu in Indonesia at: 30 May 2024 23:30.,Green,1.0,Green,0.5,Indonesia,2024-05-14 03:40:00,2024-05-30 23:30:00,0.0,DARWIN,IDN,VO 1000089,58000.0,850000.0,2.0,4.0,127.63,1.488
Green Eruption Marapi in Indonesia at: 30 May 2024 18:54.,Green,1.0,Green,0.5,Indonesia,2024-05-30 18:54:00,2024-05-30 18:54:00,0.0,DARWIN,IDN,VO 1000091,1190000.0,4450000.0,2.0,6.0,100.474,-0.38
Orange Eruption Lewotobi in Indonesia at: 13 Nov 2024 00:00.,Orange,2.0,Orange,1.5,Indonesia,2024-10-14 18:40:00,2024-11-13 00:00:00,0.0,DARWIN,IDN,VO 1000099,84000.0,740000.0,3.0,4.0,122.775,-8.542
Orange Eruption Lewotobi in Indonesia at: 24 Mar 2025 11:25.,Orange,2.0,Orange,1.5,Indonesia,2025-02-13 00:35:00,2025-03-24 11:25:00,0.0,DARWIN,IDN,VO 1000108,84000.0,740000.0,3.0,4.0,122.775,-8.542
Green Eruption Poas in Costa Rica at: 23 Apr 2025 07:39.,Green,1.0,Green,0.5,Costa Rica,2025-03-27 07:50:00,2025-04-23 07:39:00,0.0,WASHINGTON,CRI,VO 1000110,1390000.0,4210000.0,2.0,5.0,-84.233,10.2
Orange Eruption Kanlaon in Philippines at: 29 Apr 2025 15:35.,Orange,2.0,Orange,1.5,Philippines,2025-04-07 22:13:00,2025-04-29 15:35:00,0.0,TOKYO,PHL,VO 1000112,870000.0,10790000.0,2.0,6.0,123.132,10.412
Orange Eruption Bulusan in Philippines at: 29 Apr 2025 09:23.,Orange,2.0,Orange,1.5,Philippines,2025-04-29 09:23:00,2025-04-29 09:23:00,0.0,TOKYO,PHL,VO 1000113,650000.0,4290000.0,3.0,6.0,124.056,12.769
Orange Eruption Lewotobi in Indonesia at: 01 Aug 2025 13:10.,Orange,2.0,Orange,1.5,Indonesia,2025-06-17 09:45:00,2025-08-01 13:10:00,0.0,DARWIN,IDN,VO 1000117,84000.0,740000.0,3.0,4.0,122.775,-8.542
Green Eruption Klyuchevskoy in Russia at: 04 Aug 2025 06:00.,Green,1.0,Green,0.5,Russia,2025-07-30 02:48:00,2025-08-04 06:00:00,0.0,TOKYO,RUS,VO 1000121,200.0,6000.0,4.0,2.0,160.642,56.056
